Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
bad,24,other,60,41,married,yes,freelance,75,NA,0,0,2200,2428
bad,7,owner,36,38,married,yes,fixed,45,85,3400,1500,450,550
good,2,priv,60,24,married,no,fixed,35,170,5000,1500,1150,1200
good,13,owner,24,41,married,no,fixed,60,167,6000,1122,400,850
good,16,owner,60,30,married,no,fixed,35,110,5000,200,1000,1000
bad,7,other,60,35,married,yes,fixed,45,120,0,0,1400,1715
good,3,owner,18,40,married,no,fixed,45,140,4000,0,400,1772
good,15,owner,60,50,married,no,fixed,35,91,3000,0,1150,1200
good,23,other,36,56,separated,no,freelance,35,157,0,0,1800,2320
good,5,owner,48,48,married,no,fixed,60,130,5000,0,650,795
bad,10,owner,60,49,widow,no,fixed,35,160,3000,0,1650,1659
bad,8,other,60,28,divorced,yes,fixed,35,102,0,0,1100,1421
bad,6,rent,60,47,married,yes,freelance,45,NA,3000,0,1000,1000
bad,0,owner,60,58,single,no,others,35,19,NA,0,700,1332
good,0,parents,36,20,single,no,partime,35,120,0,0,1100,1100
bad,15,owner,60,53,separated,no,fixed,35,95,16500,0,1600,1955
good,0,parents,36,37,married,yes,fixed,45,230,7000,0,2800,4200
bad,0,parents,48,21,single,no,partime,35,70,0,0,1200,1600
good,10,owner,12,56,widow,no,others,35,214,53500,0,1150,1300
good,14,owner,60,31,married,no,fixed,60,110,5500,2500,1000,1314
bad,3,parents,60,29,single,no,freelance,35,NA,0,0,1500,2500
good,0,parents,60,23,single,no,partime,35,205,0,0,1100,1258
bad,5,priv,60,37,married,no,partime,60,95,2000,0,1065,1165
good,4,other,60,25,married,no,fixed,35,146,0,0,800,1400
good,10,owner,60,35,separated,no,fixed,35,300,5000,2500,1350,1369
good,1,rent,60,34,married,no,fixed,58,130,0,0,1000,1101
good,1,rent,60,32,married,no,partime,75,154,0,0,1500,1517
bad,8,parents,60,38,married,no,freelance,60,NA,0,0,1300,1480
bad,3,priv,60,36,married,no,freelance,60,NA,3000,120,1600,1689
bad,5,owner,60,49,married,yes,fixed,75,148,3000,200,1500,1657
good,23,owner,36,45,married,no,fixed,45,230,7500,0,1350,1520
good,6,parents,60,31,married,no,fixed,45,199,0,0,1200,1700
good,22,owner,60,46,married,no,fixed,60,75,3000,600,950,1263
